Matilde Rubio Bonilla,953008920
María de los Ángeles Cisneros Rubio,983651144
Andrea Orosco Mejía,973 591 282
Salvador Cortéz Alaníz,929 070 585
Andrea Partida Gálvez,980.038.819
María de los Ángeles Ayala Collado,974.822.586
Sergi Farías Elizondo,990-801-271
Iván Escobedo Colunga,905.558.915
Pedro Zapata Fonseca,938 852 720
Anni Reséndez Pizarro,957.607.593
Pío Carvajal Solano,994755552
María de los Ángeles Miranda Brito,947 199 658
Pablo Espinosa de los Monteros Aparicio,984.179.819
Lorena Pedraza Partida,907.839.105
Sergi García Arredondo,900-456-790
Maica Arenas Preciado,945896361
Laura Flores Ávalos,932 846 775
Manuel Valentín Murillo,927.738.808
Maica Godoy Corral,982-665-839
Matilde Iglesias Villaseñor,961-264-181
Matilde Sosa Velásquez,943-355-755
Jordi Segovia Paz,928669576
Roser Crespo Verdugo,998 667 788
Ana Segovia Castellanos,995-345-538
Anni Torres Benavídez,930674318
Ana Quintana Urbina,921-236-852
Sergi Huerta Amaya,956-906-284
Iván Sánchez Ordóñez,928509179
Laura Brito Sevilla,987 906 220
Sr. Ricardo Barrera Tejeda,980.728.672
Andrea Gallegos Tamayo,930.334.079
Pablo Vaca Carrillo,936 145 120
Roser Varela Briones,923 759 444
Manuel Matos Aguilera,903.786.478
Hermenegildo Cuellar Tamayo,927.397.922
Ana Arevalo Ocampo,987-402-607
Jorge Olivárez Adame,908-614-959
Daniel Mata Cervantes,915.632.959
Ana Rincón Arredondo,902 622 645
Roser Muñoz Ontiveros,960 057 495
Jordi Rascón Aponte,928926024
Manuel Candelaria Pabón,941-505-354
Roser Dueñas Serna,977.923.124
Roser Aguayo Valle,988571796
Matilde Cabrera Adorno,980-156-740
Sra. Ana Saiz Zapata,939-991-758
Sra. Marta Lomeli Rubio,956.918.299
Lorena Sánchez Medina,977494967
Daniel Samaniego Solorzano,995033198
Laura Báez Saldivar,901.315.396
Carles Serna Guevara,981728060
Sta. Maica Feliciano Valentín,946-597-886
Andrea Salazar Ríos,935.830.956
Andrea Almonte Navarro,915-198-716
Maica López Manzanares,931 835 097
Matilde Castellanos Briseño,981.033.564
Matilde Villalpando Cruz,975 147 292
María de los Ángeles Loera Cisneros,903.556.327
Hermenegildo Agosto Fernández,912 369 195
Juan Ramón Perea Muñiz,990-082-492
Andrea Jasso Ávila,966257444
Ana Huerta Rangel,991.564.553
Sergi Portillo Iglesias,918-571-839
Laura Roybal Méndez,954 853 354
Andrea Navarro Véliz,980647915
Ana Henríquez Reséndez,967818809
Juan Ramón Ruíz Godínez,952 367 775
Marta Aponte Arreola,979-666-061
Anni Esparza Delatorre,916251491
María de los Ángeles Guardado Tejada,964-564-003
Anni Tijerina Baca,970 029 172
Jennifer Balderas Reyes,946 567 287
Ricardo Lerma Aguayo,912395489
Anni Nevárez Cortés,947327482
Maica Rivera Bahena,961215809
Pedro Crespo Navarro,936.946.764
Pío Ocasio Marroquín,933-597-192
Pedro Velasco Grijalva,957-766-282
Ricardo Mondragón Acuña,911.082.837
Anni Villarreal Quiróz,992 287 055
Carles Medrano Arellano,948268387
Maica Saldaña Escalante,963 419 074
Juan Ramón Valles Granados,955461986
Matilde Lucio Rivera,936.159.538
Ana Armas Estrada,919-104-649
Pablo Cerda Valdivia,979455657
Ana Tovar Medrano,975505693
Hermenegildo Chávez Córdova,938 249 833
Sta. Marta Flores Salcido,928.706.710
Juan Ramón Arredondo Guzmán,927 762 157
Matilde Garza Ferrer,940 472 454
Jennifer Valencia Flórez,928.911.605
Josep Porras Grijalva,921.381.834
Ana Sauceda Muro,913789870
Laura Casares Holguín,994381039
Pablo Carmona Lara,951 441 460
Ángel Ceja Montañez,973 492 430
Josep Serna Atencio,972838441
Ricardo Moya Vega,983.779.707
Hermenegildo Almanza Escamilla,905.770.107
Ángel Padrón Alfaro,986.229.608
Andrea Banda Navarro,971.893.126
Jennifer Estévez Sanabria,905-661-119
Jennifer Gil Flores,982 978 846
Andrea Jiménez Menéndez,907.600.294
Sr. Iván Coronado Tapia,966023281
Pablo Huerta Zepeda,914589114
Jordi Loera Alejandro,950.713.864
Ricardo Castillo Nájera,923.975.162
Jennifer Delgado Patiño,974-249-932
María de los Ángeles Santacruz León,947808548
Maica Cavazos Pabón,910.203.586
Ana Vega Padrón,943 595 166
Salvador Fierro Marín,990 642 745
Andrea Alvarado Aguilera,920 384 455
Roser Rincón Flórez,978 353 978
Daniel Montaño Laboy,984.941.002
Ana Calderón Padrón,920 338 126
Sr. Rubén Puente Sevilla,973 050 813
Juan Ramón Cárdenas Marín,918.869.551
María de los Ángeles Villalpando Paredes,933.298.131
Jennifer Abreu Morales,943 974 166
Ricardo Pelayo Ledesma,913588033
Ana Alejandro Osorio,996-122-509
Ana Laboy Armendáriz,960269250
Juan Ramón Lira Maestas,905389044
Lorena Salazar Pérez,994.108.495
Laura Tejada Fernández,999 237 198
Salvador Esquibel Rojo,986 368 086
Laura Pacheco Herrera,992763041
Ángel Gurule Yáñez,928 853 688
Sra. Andrea Curiel Godínez,916005802
Sra. Marta Olivas Escalante,990.471.212
Rubén Gaytán Espinal,933251215
Jennifer Elizondo Sauceda,954.775.107
Rubén Lira Pineda,917141294
Marta Montes Hinojosa,903-833-556
Andrea Lerma Robledo,918.666.658
Daniel Chavarría Olivera,995 147 430
Juan Ramón Paredes Porras,901.217.875
Carles Acuña Rosado,980 346 738
Iván Puente Iglesias,913-639-130
Anni Madera Manzanares,910 149 129
Ángel Carrasco Henríquez,970.904.850
Ángel Lebrón Sanabria,992-003-612
Pedro Luna Escamilla,934290463
Iván Casas Camacho,905810339
Maica Velázquez Chávez,995.172.298
María de los Ángeles Villa Gaona,951 331 390
Miguel Juárez Zarate,954541902
Lorena Reyna Godoy,997 276 477
Matilde Velásquez Cárdenas,908 521 384
Miguel Ramos Rendón,920-639-299
Sr. Iván Cintrón Vaca,927-550-998
Jorge Melgar Holguín,903433734
Jennifer Quezada Sauceda,982.132.915
Maica Valdez Briseño,950.107.379
Juan Ramón Preciado Mondragón,945225164
Sr. Miguel Crespo Quintana,934155966
Matilde Loya Argüello,930-127-133
Sra. Anni Zepeda Merino,927-858-096
Pedro Almaráz Roque,984-326-300
Andrea Gálvez Collado,948-624-639
Roser Polanco Vargas,975107255
Maica Olmos Niño,950-307-747
Anni Gil Posada,935012445
Manuel Lozano Bahena,984 666 174
Andrea Gallegos Ávalos,916.411.273
Andrea Gallardo Rocha,961 453 689
María de los Ángeles Arce Rentería,991-693-794
Maica Velázquez Quintana,970-980-646
María de los Ángeles Arce Valdivia,963 932 581
Marta Ruíz Jaimes,972.695.965
Andrea Montalvo Narváez,906268955
Sr. Juan Ramón Camarillo Palacios,985 870 260
Pío Zamora Reséndez,987419945
Daniel Sedillo Arreola,961.802.342
Sr. Juan Ramón Salcido Burgos,980 045 411
Rubén Cintrón Orellana,904728346
Marta Quintanilla Martínez,929-097-342
Sra. Roser Urbina Guzmán,998037611
Ricardo Malave Salcedo,965 833 842
Sra. María de los Ángeles Alemán Valverde,906.407.053
Manuel Guzmán Sepúlveda,902298028
Ricardo Castellanos Casas,942031381
Anni Alaníz Salcido,906 822 183
Daniel Sevilla Zavala,987.364.301
Iván Véliz Mateo,987 125 890
Anni Regalado Rosales,971.016.509
Jennifer Atencio Palomino,963.632.871
Maica Saucedo Barrientos,939-516-062
Laura Alonzo Tijerina,998.873.376
Ana Guzmán Aranda,985.386.485
Sr. Ricardo Montalvo Aragón,998 479 068
Miguel Ybarra Díaz,990.702.992
Sta. Marta Ruelas Ocampo,942025895
Jennifer Velásquez Chávez,924 684 490
Hermenegildo Cisneros Madrid,934.147.808
Juan Ramón Zapata Baeza,946-603-908
Matilde Valdez Sierra,988 356 422
Matilde Tamez Mondragón,960.077.662
Pablo Fajardo Tejeda,991463278
Anni Botello Olivera,925-201-478
Maica Riojas Espinoza,988 574 611
Sta. Marta Terán Peña,912-642-441
Sergi Ochoa Ureña,970284077
María de los Ángeles Trujillo Baeza,951-284-822
Miguel Escalante Urbina,969 879 462
Jordi Maestas Benavides,913602492
Anni Juárez Sedillo,915530011
Ricardo Prieto Orozco,997.274.539
Juan Ramón Araña Medrano,990-438-109
Josep Castillo Gámez,991662678
Ángel Casillas Carrero,903-411-251
Roser Rosado Miramontes,925951511
Jennifer Escobar Reynoso,932198634
María de los Ángeles Márquez Cadena,996-443-395
Miguel Llamas Melgar,933.318.672
Matilde Arenas Alfaro,981-912-075
Andrea Véliz Cazares,953578036
Matilde Torres Romo,960-602-177
Roser Rael Escobedo,905.046.765
Ana Marroquín Dueñas,935944662
Daniel Acevedo Delagarza,972 244 079
Jennifer Duarte Mondragón,904-786-323
Marta Pichardo Carreón,979 221 947
Iván Robles Feliciano,910.543.992
María de los Ángeles Iglesias Ordóñez,935.634.584
Manuel Vigil Ordóñez,999688539
Sta. Jennifer Romo Roybal,940-399-473
Jordi Medina Lovato,901 522 817
Miguel Delarosa Coronado,974 113 210
Maica Meraz Guajardo,960732985
Laura Solorio Garza,978 536 319
Andrea Santacruz Sandoval,934.807.776
Jorge Gil Véliz,900809273
Ana Granado Granados,932-293-013
Jennifer Bravo Dávila,935-628-439
Jorge Segura Carrera,980526645
Matilde Valladares Baeza,985 206 589
Lorena Segura Magaña,969.878.267
Daniel Mesa Monroy,987-972-494
Miguel Delacrúz Castro,921.343.505
Andrea Collado Rosado,995-633-517
Matilde Delao Vanegas,903-447-605
Sergi Urrutia Lozano,960499718
Anni Barela Barraza,983 462 450
Ana Valdez Heredia,936.200.550
Manuel Montéz Jasso,926-479-679
Laura Ordóñez Vigil,963 174 224
Daniel Tamez Quiñones,950-481-593
Laura Reyes Becerra,962-773-935
Sr. Carles Castillo Sauceda,942 015 295
Daniel Hernández Valencia,966285151
Miguel Gallardo Huerta,951 317 894
Andrea Lucio Almonte,999-278-100
Lorena Gálvez Morales,999613069
Sergi Verdugo Delagarza,936804112
Laura Pagan Bustos,995472787
Lorena Muro Santillán,907.529.917
Marta Esquibel Ornelas,913 987 537
Iván Cervantes Luna,963.105.955
Pedro Curiel Villa,950 016 245
Andrea Carrasquillo Cuellar,940 184 195
Sr. Pablo Montes Bermúdez,944 774 076
Josep Ocampo Almaráz,995525895
Juan Ramón Granados Alejandro,931 121 105
Roser Ocasio Juárez,947.385.412
Pío Hurtado Salcedo,949-678-040
Laura Trujillo Soria,945 406 341
Ana Espino Collado,946.763.845
Rubén Barragán Razo,979 559 878
Lorena Salas Dávila,952 783 193
Andrea Calderón Carrero,963-313-338
Anni Rosario Armenta,944-933-640
Anni Zamora Durán,953872213
Sergi Estévez López,949.340.265
Carles Escalante Quiróz,959960341
Ángel Ramos Tafoya,900805655
Sr. Daniel Carmona Padilla,995 969 212
Pío Avilés Véliz,919 562 893
Pedro Orosco Burgos,956-600-454
Laura Serna Pérez,942.492.318
Pedro Sandoval Carranza,932.583.786
Andrea Madera Covarrubias,952 313 826
Jordi Bravo Loya,965648250
Sta. Roser Marroquín Guerra,942 541 847
Marta Magaña Esquibel,905 205 437
Andrea Feliciano Marrero,973 050 483
Pablo Corral Romero,931-189-994
Sta. Ana Salazar Serna,934277231
Matilde Torres Caballero,911 423 270
Ángel Laureano Hidalgo,944 671 283
Rubén Pedraza Villaseñor,920 079 197
Sr. Daniel Córdova Reyes,920.961.897
Manuel Olivas Vera,984433320
Matilde Cabán Ulibarri,913-551-441
Ricardo Villaseñor Delao,941.644.444
Daniel Romo Mesa,972 607 565
Laura Escobedo Reyna,953-963-434
Matilde Gaona Adame,949 032 299
Jordi Luna Atencio,950 657 920
Sr. Salvador Piña Lucio,986.223.782
Manuel Abreu Badillo,926989562
Matilde Bernal Aparicio,977-346-043
Matilde Moreno Serna,937008686
Roser Delrío Delvalle,948-627-750
Salvador Véliz Hinojosa,910898786
Lorena Acevedo Deleón,949013316
Josep Cantú García,950-120-944
Maica Urías Parra,936-194-266
Andrea Lomeli Balderas,915 251 347
Hermenegildo Roybal Quesada,902 697 289
Jennifer Ontiveros Casas,929420899
Pío Espinosa Gómez,939.946.563
Jennifer Gámez Magaña,923-797-441
Jorge Palacios Garica,924691463
Jorge Salazar Montalvo,940545260
Laura Sandoval Jaimes,953195579
Jorge Alarcón Saavedra,938-993-173
Juan Ramón Ramírez Adame,955.171.007
Roser Gálvez Montañez,980.315.762
Daniel Deleón Armijo,976-555-997
Jorge Guerrero Miranda,917-236-144
Anni Mena Valle,944 767 664
Carles Quesada Saldivar,912037526
Andrea Manzanares Gallegos,966 567 367
Roser Quesada Valentín,948-783-193
Rubén Barrientos Camarillo,939.991.127
Ana Cortéz Soria,949.816.190
Daniel Olivárez Salcido,984937290
Miguel Zambrano Manzanares,926-603-702
Andrea Rodríguez Ávila,997 670 973
Daniel Polanco Casarez,910115382
Sta. María de los Ángeles Saavedra Zambrano,937 857 340
Andrea Villanueva Orozco,976 476 233
Andrea Sarabia Corrales,927 874 023
Ana Rivas Tirado,992 575 161
Jennifer Deleón Cortéz,978.576.802
Sra. Ana Laureano Alonso,921.412.233
Rubén Montaño Gil,945522050
Rubén Lozada Arriaga,955-396-272
Salvador Godoy Esquivel,947954219
Sta. Matilde Gamboa Véliz,946-961-001
Juan Ramón Villegas Quintero,913.498.654
Jorge Urbina Pantoja,976.764.043
Marta Ornelas Covarrubias,957-107-825
Sergi Arias Valverde,981 042 373
Sta. Andrea Miramontes Nevárez,916-840-114
Andrea Orosco Gallardo,975 703 522
Sergi Adorno Bueno,942-028-530
Andrea Zamora Carbajal,924 962 673
Sra. Laura Valdés Verdugo,928.839.135
Matilde Paz Olivas,907 868 877
Salvador Ballesteros Cavazos,922.753.109
Pedro Ruelas Pedroza,910 174 187
Iván Corona Medina,991445671
Daniel Saiz Niño,945.091.886
Laura Lovato Munguía,994 953 476
Salvador Nieto Rendón,969 608 931
Sta. María de los Ángeles Angulo Duarte,942513124
Ana Duarte Bustos,998045767
Pedro Estévez Saiz,936.111.515
Maica Santillán Arroyo,950-056-810
Sr. Josep Vaca Batista,916 347 944
Sergi Alemán Segovia,998162778
María de los Ángeles Salas Gamboa,973 710 428
Andrea Solís Leal,919420319
Ana Noriega Terán,995-601-342
Carles Concepción Bernal,992845007
Manuel Casanova Quintana,992.147.895
Sta. Andrea Barela Cuellar,967-937-602
Daniel Quintero Tirado,925953297
Salvador Cantú Salcedo,970.665.835
Ángel Arias Roque,931-363-602
Pío Ríos Barrientos,919 424 839
Sra. Jennifer Casares Villalpando,952.755.120
Sr. Rubén Paredes Montero,953.473.305
Sergi Zapata Montenegro,995.318.416
Ricardo Guevara Maestas,966 350 915
Andrea Ferrer Granado,983102159
Matilde Griego Moreno,900.625.963
Jorge Caballero Almanza,921-679-317
Jennifer Vega Pacheco,950.749.540
Iván Ocasio Arenas,938 152 562
Juan Ramón Baeza Carrero,910.426.651
Andrea Sotelo Caldera,946487290
Iván Valle Laureano,974.542.232
Pablo Cotto Caraballo,946812663
Lorena Armenta Guzmán,990 937 408
Lorena Grijalva Zapata,936 636 324
Jorge Dávila Arriaga,983380905
Ricardo Jiménez Tijerina,911.886.980
Miguel Alejandro Santiago,928.740.089
Juan Ramón Baca Aguirre,929-233-824
Ángel Roybal Soliz,904463595
Hermenegildo Páez Soliz,901117296
Roser Treviño Mayorga,983 945 485
Pedro Solorio Lira,930314461
Anni Márquez Tamayo,956-540-177
Jorge Muñiz Grijalva,911.542.463
Marta Domínguez Limón,972-438-418
Anni Samaniego Rosario,904162028
Andrea Pineda Arias,989.313.304
Sra. Andrea Olivárez Llamas,992-900-334
Daniel Hinojosa Nieves,966388660
Manuel Partida Valles,925-143-494
Pedro Arredondo Olivas,913 385 611
Pablo Salgado Bernal,910-684-218
Pablo Elizondo Fonseca,910556861
Laura Benítez Cerda,934-167-958
Pedro Tapia Partida,987957786
Rubén Vaca Quiñones,984-226-644
Jorge Colón Medina,906.250.173
Manuel Ramos Casillas,974 836 456
Laura Ponce Lucio,984 476 920
Lorena Almaráz Galarza,922-858-600
Matilde Leyva Meléndez,905 801 075
Daniel Duarte Delacrúz,941.161.532
Pablo Carrera Quintanilla,942115434
Sr. Jorge Corrales Cotto,959 512 458
Lorena Alonso Caballero,944-741-072
Pío Castañeda Chávez,903432959
Sta. Marta Pedroza Balderas,920 134 710
Pablo Luevano Correa,946-509-223
Josep Sepúlveda Zamudio,944.722.909
Josep Gallegos Olivárez,971000059
Roser Riojas Ponce,960 423 742
Pedro Limón Escamilla,908350597
Pablo Rodríguez Delagarza,937.051.529
Jorge Carvajal Valenzuela,999-083-212
Anni Oquendo Venegas,954187231
Sr. Daniel Rubio Nazario,979 600 728
Daniel Montalvo Lara,912 413 612
Ana Valadez Arellano,902 327 994
Pedro Vega Valladares,942 539 189
Anni Cabán Suárez,943-413-466
Lorena Mota Villalpando,926-667-148
Sr. Pedro Arteaga Hinojosa,929 463 141
Miguel Cadena Ayala,976328362
Salvador Barajas Escobedo,992 797 480
Maica Ponce Domínguez,941 503 358
Sr. Manuel Gastélum de Anda,965.956.412
Pío Olvera Bañuelos,977 619 637
Rubén de Anda Morales,925.730.444
Sta. Marta Valentín Baca,942954600
Rubén Anguiano Escamilla,968 537 700
Pío Barreto Correa,923 893 915
Lorena Quintanilla Puga,991-905-018
Anni Perea Abeyta,929-273-145
Ángel Coronado Zaragoza,918-470-122
Matilde Zúñiga Salcedo,905.900.954
Matilde Ávalos Tapia,913 294 915
Ana Olivares Rico,976686373
Manuel Contreras Anaya,984-031-625
Pío Rocha Marín,912.778.005
Maica Ramírez Barrera,928 123 124
Salvador Estrada Polanco,999818628
Carles Girón Carrillo,934-161-226
Matilde Durán Montes,901 595 804
Sr. Jordi Ibarra Lara,908 833 382
Laura Segovia Herrera,949 538 056
Ricardo Galarza Portillo,919-607-529
Ángel Griego Garza,957503020
Sergi Alarcón Henríquez,943.806.427
Salvador Trujillo Téllez,993-738-599
Sr. Sergi Atencio Zarate,961-701-738
Jennifer Naranjo Delrío,999 257 884
Pedro Corona Alonzo,980-109-331
Sr. Jorge Sosa Valle,965669630
Jorge Polanco Cruz,924.377.996
Jennifer Saldaña Delapaz,971-566-125
Juan Ramón Narváez Garrido,999 243 237
Josep Esquibel Santillán,988437159
Matilde Alcaraz Casarez,983 429 754
Daniel Velásquez Cervántez,999 758 698
Andrea Granado Sanabria,908 019 410
Carles Quiñones Loera,974-254-291
Sr. Josep Chacón Navarrete,953-891-229
Sergi Cuellar Barrientos,980-748-322
Lorena Rivas Monroy,905-691-384
Miguel Benavides Olivárez,957 700 486
María de los Ángeles Sedillo Fajardo,953040574
Roser Téllez Carrión,951-962-018
Daniel Alcalá Nájera,927.987.006
María de los Ángeles Cano Alicea,961 220 236
Pedro Rael Aguirre,960726888
Pedro Villanueva Meraz,978-877-094
Ricardo Prieto Villagómez,959.737.473
Sr. Juan Ramón Limón Vallejo,997.239.348
Jennifer Amador Téllez,902-377-545
Maica Ferrer Betancourt,963597173
Marta Almanza Ramos,914.673.591
Marta Feliciano Barraza,925157653
Sta. Maica Granado Nevárez,952 166 980
Jennifer Espinoza Mateo,925-720-005
Marta Rocha Quintero,979.050.263
Lorena Juárez Girón,951-109-812
Anni Centeno Barreto,904 535 620
Ángel Feliciano Perales,952-410-124
Ana Meléndez Caballero,990-724-372
Sergi Barreto Tamez,905 420 563
Jorge Menchaca Delacrúz,970-148-847
Sra. María de los Ángeles Portillo Farías,990.449.701
Sr. Ángel Carreón Contreras,977.203.789
Miguel Acosta Bustamante,989 847 481
Miguel Sandoval Acevedo,965 198 437
Pablo Camacho Villalobos,993-418-481
Sergi Ocasio Sarabia,966 593 754
Maica Murillo Abrego,960.396.937
Roser Ornelas Quiróz,981 526 720
Sr. Daniel Melgar Tórrez,947661201
Manuel Peralta Lucio,936.968.674
Miguel Ortiz Casas,976 726 080
Ana Cabán Loya,942697913
María de los Ángeles Otero Brito,981203340
Jordi Carrero Gámez,948 185 753
Sra. Roser Baca Dávila,935.612.298
Iván Marrero Munguía,925 951 629
Josep Urías Montero,962-266-680
Sergi Bravo Contreras,964.809.384
Sra. Ana Piña Terrazas,970890958
Salvador Atencio Nevárez,906515261
Laura Altamirano Trejo,953.454.495
Juan Ramón Mota Campos,988-193-285
Marta Esquibel Niño,935 814 400
Carles Carrillo Batista,955-098-362
Sergi Castillo Carrera,940.371.105
Josep Castañeda Barela,913-757-915
Maica Saldivar Santacruz,925.090.363
Sr. Ángel Guerra Salgado,953197795
Lorena Aguayo Coronado,914.911.954
Jordi Rangel Mata,940-159-619
Sergi Galarza Magaña,968444229
Anni Zúñiga Quezada,908 994 829
Juan Ramón Riojas Curiel,945111308
Matilde Rosado Chacón,994-076-903
María de los Ángeles Rosales Almanza,980 601 983
Jennifer Valdivia Valdez,945-604-780
Roser Luna Enríquez,913-357-540
Pablo Téllez Briones,927740414
Maica Gil Negrete,928 895 261
Marta Brito Páez,927-000-510
Hermenegildo Madrigal Batista,902.872.564
Daniel Carrera Garibay,947622750
Ana Mercado Casares,923-393-782
Miguel Lugo Centeno,999-528-491
Matilde Griego Lara,921-241-996
Matilde Quintanilla Quiróz,989.983.654
Lorena Arroyo Bermúdez,907 313 463
Lorena Segura Sanabria,912-539-056
Roser Lucero Solorio,917-599-016
Pío Regalado Jáquez,911.755.958
Hermenegildo Cisneros Uribe,955313552
Matilde Mascareñas Gurule,903.828.980
Andrea Holguín Velásquez,928.897.744
